16-10-2019 15:09:14 INFO  Realised acoustparams extractor:154 - Module shut down.
16-10-2019 15:09:14 INFO  Realised durations extractor:154 - Module shut down.
16-10-2019 15:09:14 INFO  HTSEngine:154 - Module shut down.
16-10-2019 15:09:14 INFO  Praat TextGrid generator:154 - Module shut down.
16-10-2019 15:09:14 INFO  JTokeniser:154 - Module shut down.
16-10-2019 15:09:14 INFO  Preprocess:154 - Module shut down.
16-10-2019 15:09:14 INFO  JPhonemiser:154 - Module shut down.
16-10-2019 15:09:14 INFO  JPhonemiser:154 - Module shut down.
16-10-2019 15:09:14 INFO  Prosody:154 - Module shut down.
16-10-2019 15:09:14 INFO  SimplePhoneme2AP:154 - Module shut down.
16-10-2019 15:09:14 INFO  PronunciationModel:154 - Module shut down.
16-10-2019 15:09:14 INFO  OpenNLPPosTagger:154 - Module shut down.
16-10-2019 15:09:14 INFO  JPhonemiser:154 - Module shut down.
16-10-2019 15:09:14 INFO  Preprocess:154 - Module shut down.
16-10-2019 15:09:14 INFO  OpenNLPPosTagger:154 - Module shut down.
16-10-2019 15:09:14 INFO  JTokeniser:154 - Module shut down.
16-10-2019 15:09:14 INFO  Preprocess:154 - Module shut down.
16-10-2019 15:09:14 INFO  JPhonemiser:154 - Module shut down.
16-10-2019 15:09:14 INFO  OpenNLPPosTagger:154 - Module shut down.
16-10-2019 15:09:14 INFO  Prosody:154 - Module shut down.
16-10-2019 15:09:14 INFO  PronunciationModel:154 - Module shut down.
16-10-2019 15:09:14 INFO  main:388 - Shutdown complete.
16-10-2019 15:10:03 INFO  RestUtil:60 - Restrequest towards https://api.openweathermap.org/data/2.5/weather with 3 parameters.
16-10-2019 15:10:03 INFO  RestUtil:52 - Final url https://api.openweathermap.org/data/2.5/weather?q=Cologne&appid=cea74b0e793af2cf83b15137df481110&units=metric
16-10-2019 15:10:04 INFO  Weather:39 - The temperature equals 13.65 °Celsius and there is light rain.
16-10-2019 15:10:04 INFO  main:231 - Mary starting up...
16-10-2019 15:10:04 INFO  main:232 - Specification version 5.2
16-10-2019 15:10:04 INFO  main:233 - Implementation version unknown
16-10-2019 15:10:04 INFO  main:234 - Running on a Java 1.8.0_144 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
16-10-2019 15:10:04 INFO  ModuleRegistry:91 - Now initiating mary module 'marytts.modules.Synthesis'
16-10-2019 15:10:04 INFO  ModuleRegistry:91 - Now initiating mary module 'marytts.modules.TextToMaryXML'
16-10-2019 15:10:04 INFO  ModuleRegistry:91 - Now initiating mary module 'marytts.modules.SableParser'
16-10-2019 15:10:04 INFO  ModuleRegistry:91 - Now initiating mary module 'marytts.modules.SSMLParser'
16-10-2019 15:10:04 INFO  ModuleRegistry:91 - Now initiating mary module 'marytts.modules.APMLParser'
